,date,bondedBacklogPrediction,bondingCapacity
0,2025-01-01,584957717.5419264,115042282.45807362
1,2025-02-01,538014380.6778259,161985619.32217407
2,2025-03-01,492265214.888538,207734785.111462
3,2025-04-01,448378554.3975632,251621445.60243678
4,2025-05-01,405937227.03792685,294062772.96207315
5,2025-06-01,361530054.40859723,338469945.59140277
6,2025-07-01,314275670.95889384,385724329.04110616
7,2025-08-01,268223670.4824385,431776329.5175615
8,2025-09-01,221594440.7196234,478405559.2803766
9,2025-10-01,174901971.51518184,525098028.48481816
10,2025-11-01,123095209.26804823,576904790.7319517
11,2025-12-01,75975416.07730675,624024583.9226933
