date,backlog,prediction,recBacklog,probAmount
2024-07-01,632802445.0,,632802445.0,0.0
2024-08-01,657355069.0,,657355069.0,0.0
2024-09-01,633707898.0,,633707898.0,0.0
2024-10-01,810491093.0,,810491093.0,0.0
2024-11-01,778345811.0,,778345811.0,0.0
2024-12-01,802611114.5999999,,802611114.5999999,0.0
2025-01-01,,50190248.0,783911177.1499999,31490310.55
2025-02-01,,57106524.0,726804653.1499999,0.0
2025-03-01,,59848284.0,754274017.7499999,87317648.6
2025-04-01,,60242952.0,715616395.3499999,21585329.6
2025-05-01,,57018312.0,679472039.9499999,20873956.6
2025-06-01,,57662432.0,656158912.9499999,34349305.0
2025-07-01,,59530540.0,604415317.9499999,7786945.0
2025-08-01,,59358252.0,611570525.9499999,66513460.0
2025-09-01,,55937476.0,555633049.9499999,0.0
2025-10-01,,56295884.0,501215339.54999995,1878173.6
2025-11-01,,55717748.0,445497591.54999995,0.0
2025-12-01,,51170016.0,400790235.15,6462659.600000001
