Label,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Month,Year,Date,monthSum12,monthSum13,monthSum14,monthSum15,date
"10, 2000",20222956.0,22128666.0,23061973.0,20781424.0,21914401.0,24235162.0,24313348.0,24149006.0,22102082.0,20514057.0,15100883.0,14677879.0,12230016.0,8323297.0,,10,2000,2000-10-01,253201836.0,265431853.0,273755149.0,273755149.0,2000-10-01
"11, 2000",20903587.0,22256247.0,20372582.0,24377546.0,25054109.0,24889768.0,23944105.0,21836488.0,18916327.0,18323406.0,16774736.0,15104548.0,11512503.0,,,11,2000,2000-11-01,252753449.0,264265952.0,264265952.0,264265952.0,2000-11-01
"12, 2000",18552539.0,20125870.0,23588077.0,25593366.0,25033087.0,24138046.0,21902505.0,19738853.0,18815379.0,17199040.0,15773223.0,12298923.0,,,,12,2000,2000-12-01,242758908.0,242758908.0,242758908.0,242758908.0,2000-12-01
"1, 2001",19928067.0,24626402.0,28307954.0,30195875.0,27329640.0,25055079.0,22837858.0,21182635.0,20214822.0,18611031.0,15620277.0,13307581.0,11057859.0,8898358.0,4417006.0,1,2001,2001-01-01,267217220.0,278275079.0,287173437.0,291590443.0,2001-01-01
"2, 2001",23634979.0,27768515.0,29262927.0,27817306.0,23844467.0,20893226.0,18996170.0,19612370.0,18025932.0,16053855.0,12532725.0,10711691.0,9110288.0,4787969.0,4395352.0,2,2001,2001-02-01,249154165.0,258264453.0,263052422.0,267447774.0,2001-02-01
"3, 2001",24918992.0,29318797.0,26059082.0,28808078.0,24569980.0,21961334.0,22888364.0,21019249.0,19373997.0,13036141.0,11673202.0,9895579.0,9616492.0,8348404.0,6517533.0,3,2001,2001-03-01,253522795.0,263139287.0,271487691.0,278005224.0,2001-03-01
"4, 2001",28007078.0,26829268.0,27989236.0,28225728.0,23672206.0,23466967.0,20900648.0,19023131.0,13663431.0,12241769.0,10451961.0,10158494.0,8484340.0,7195173.0,3702558.0,4,2001,2001-04-01,244629916.0,253114256.0,260309429.0,264011986.0,2001-04-01
"5, 2001",28994336.0,29365397.0,25420647.0,24147484.0,23218344.0,20571754.0,18167278.0,13911734.0,12621112.0,9961513.0,8528569.0,8710480.0,8378594.0,7333649.0,3453382.0,5,2001,2001-05-01,223618647.0,231997241.0,239330891.0,242784272.0,2001-05-01
"6, 2001",29501916.0,24977134.0,24376842.0,26872987.0,22030133.0,22100624.0,17736620.0,14524094.0,11881742.0,11172759.0,11530127.0,10550740.0,9542384.0,5568053.0,3792673.0,6,2001,2001-06-01,227255718.0,236798102.0,242366155.0,246158828.0,2001-06-01
"7, 2001",26081221.0,25478537.0,26328864.0,23396422.0,21058066.0,17420334.0,14348964.0,12700668.0,12091349.0,11860903.0,11324064.0,8838356.0,5145627.0,3715833.0,2142645.0,7,2001,2001-07-01,210927750.0,216073377.0,219789210.0,221931855.0,2001-07-01
"8, 2001",25934113.0,29168641.0,25646817.0,24508193.0,18891222.0,16157526.0,15759838.0,15913766.0,16189957.0,14183645.0,12247823.0,8761266.0,5986273.0,4470780.0,3517540.0,8,2001,2001-08-01,223362807.0,229349080.0,233819860.0,237337400.0,2001-08-01
"9, 2001",31559902.0,29853345.0,28352090.0,23984410.0,18221828.0,17980256.0,18515147.0,18608333.0,16525517.0,14807808.0,11255501.0,6187814.0,4625840.0,3591020.0,3149720.0,9,2001,2001-09-01,235851950.0,240477790.0,244068810.0,247218530.0,2001-09-01
"10, 2001",27331286.0,23598738.0,21200112.0,16960013.0,15874035.0,15503956.0,17231192.0,17163738.0,16169738.0,12655505.0,9597011.0,9141214.0,7032423.0,6624374.0,,10,2001,2001-10-01,202426539.0,209458962.0,216083336.0,216083336.0,2001-10-01
"11, 2001",26590071.0,22556860.0,17734639.0,17761410.0,16895864.0,17136805.0,17088887.0,15663439.0,12986737.0,10506382.0,10508972.0,8778930.0,7693510.0,,,11,2001,2001-11-01,194208996.0,201902507.0,201902507.0,201902507.0,2001-11-01
"12, 2001",22101102.0,20728863.0,17669040.0,17578873.0,18354113.0,18841868.0,17589923.0,14243497.0,11845124.0,10285680.0,9085120.0,8454160.0,,,,12,2001,2001-12-01,186777362.0,186777362.0,186777362.0,186777362.0,2001-12-01
"1, 2002",18432950.0,20379145.0,18376695.0,20365953.0,20035516.0,18485206.0,14322402.0,11487683.0,11219046.0,10230083.0,9486479.0,7094310.0,5247421.0,5656670.0,2343995.0,1,2002,2002-01-01,179915469.0,185162890.0,190819559.0,193163554.0,2002-01-01
"2, 2002",22800971.0,21738718.0,22104280.0,22127876.0,19685683.0,14012975.0,11393295.0,11933816.0,11384355.0,10334601.0,7969868.0,5227042.0,5277768.0,1977335.0,1533037.0,2,2002,2002-02-01,180713480.0,185991248.0,187968584.0,189501621.0,2002-02-01
"3, 2002",17915754.0,19864412.0,17315381.0,17422632.0,13438865.0,13305446.0,12913630.0,13324180.0,12004031.0,9684394.0,6716250.0,7041074.0,4501366.0,3722593.0,1238535.0,3,2002,2002-03-01,160946051.0,165447417.0,169170010.0,170408545.0,2002-03-01
"4, 2002",17031756.0,15441178.0,16900920.0,14825058.0,14685370.0,15081521.0,14524343.0,13171423.0,10975794.0,7668848.0,8095714.0,6689922.0,4466413.0,1929012.0,1993336.0,4,2002,2002-04-01,155091846.0,159558258.0,161487270.0,163480606.0,2002-04-01
"5, 2002",17989368.0,20268560.0,18263140.0,16801574.0,17451661.0,17102218.0,15573223.0,13472948.0,10755423.0,11513028.0,9891580.0,7831341.0,3547894.0,2669145.0,1842840.0,5,2002,2002-05-01,176914063.0,180461957.0,183131102.0,184973942.0,2002-05-01
"6, 2002",15782667.0,17478273.0,17250039.0,18116363.0,18318850.0,17495655.0,15622372.0,11634705.0,12679134.0,11152775.0,10136793.0,7122644.0,3095816.0,2444742.0,2365855.0,6,2002,2002-06-01,172790270.0,175886086.0,178330828.0,180696683.0,2002-06-01
"7, 2002",18885747.0,17127932.0,18752190.0,18326674.0,17470414.0,16062310.0,11783166.0,12823029.0,10230987.0,9149342.0,5405989.0,2684667.0,2080529.0,1328433.0,1372709.0,7,2002,2002-07-01,158702447.0,160782975.0,162111408.0,163484117.0,2002-07-01
"8, 2002",18076987.0,17973549.0,17678911.0,17174750.0,16728630.0,13348292.0,14264208.0,7368381.0,7284850.0,5942452.0,5463649.0,3638782.0,2636452.0,2624422.0,1956035.0,8,2002,2002-08-01,144943439.0,147579891.0,150204313.0,152160348.0,2002-08-01
"9, 2002",17726526.0,17166870.0,16484169.0,15984764.0,14599157.0,16680176.0,9073862.0,9076380.0,7305918.0,6859045.0,5108305.0,4550715.0,4590085.0,3772060.0,2990685.0,9,2002,2002-09-01,140615888.0,145205972.0,148978032.0,151968717.0,2002-09-01
