,next12,next15,date,backlog,rollingBacklog,constRevenue,rollingRevenue,constNW,rollingNW,_6MoConst,_12MoConst,revenueBudget,month,year,monthSum12,monthSum15,Match,CPI,GDP,Prime Rate,Annual Projections
0,271333906.0,327604314.0,2000-11-01,176993801.0,105419477.5,15788523.0,143846523.0,10755276.0,216502666.0,3603002.0,8551897.0,,11,2000,252753449.0,264265952.0,112000,174.1,10.44,0.09,327658302.0
1,280815683.0,329620749.0,2000-12-01,166875875.0,111587780.91666667,13799120.0,140401804.0,3681193.0,214421453.0,4143859.0,7908255.0,,12,2000,242758908.0,242758908.0,122000,174.0,10.44,0.09,327481951.45536405
2,279815368.0,327867934.0,2001-01-01,160567140.0,118103232.75,18255291.0,137595730.0,11946553.0,215716656.0,4620499.0,8135045.0,,1,2001,267217220.0,291590443.0,12001,175.1,10.45,0.09,319326614.2030742
3,277866235.0,326928923.08,2001-02-01,170449545.0,124683286.83333333,17683668.0,145380065.0,27566073.0,224340716.0,5065632.0,8326207.0,,2,2001,249154165.0,267447774.0,22001,175.8,10.46,0.085,333354380.4541197
4,266024413.0,314522166.08,2001-03-01,173066517.0,133417687.08333333,27657377.0,148810172.0,30274348.0,253622962.0,5328019.0,9192334.0,,3,2001,253522795.0,278005224.0,32001,176.2,10.47,0.08,323718526.72123146
5,256073414.0,303118094.08,2001-04-01,166490593.0,143439731.41666666,26453475.0,163011421.0,19877550.0,283275948.0,6101124.0,9765099.0,,4,2001,244629916.0,264011986.0,42001,176.9,10.513333333333334,0.075,251741055.33877945
6,247701894.08,297192086.08,2001-05-01,199224202.0,149081603.91666666,25116177.0,179080800.0,57849784.0,246783265.0,6902504.0,10505506.0,,5,2001,223618647.0,242784272.0,52001,177.7,10.556666666666667,0.07,285704172.644577
7,240173478.08,292236158.08,2001-06-01,181406141.0,157121899.08333334,22779036.0,194146620.0,4960976.0,290630154.0,6979253.0,11123112.0,,6,2001,227255718.0,246158828.0,62001,178.0,10.6,0.0675,281562759.2274461
8,226634292.08,282176480.08,2001-07-01,165319171.0,163931978.41666666,28588589.0,207436920.0,12501619.0,289157872.0,7624144.0,12244643.0,,7,2001,210927750.0,221931855.0,72001,177.5,10.6,0.06625,290870177.9386792
9,220414203.07999998,278106838.08,2001-08-01,153171360.0,168480305.75,25410258.0,229059559.0,13262447.0,283639486.0,7891033.0,12956665.0,,8,2001,223362807.0,237337400.0,82001,177.5,10.6,0.065,287137486.98488855
10,216154764.07999998,275077817.08,2001-09-01,147214794.0,170858739.75,22082547.0,245811717.0,16125981.0,274352922.0,7940425.0,13268444.0,,9,2001,235851950.0,247218530.0,92001,178.3,10.6,0.06,283723755.813107
11,214423277.07999998,266741980.07999998,2001-10-01,139732317.0,170233849.0,20260398.0,254906765.0,12777921.0,247408070.0,7772707.0,13873831.0,,10,2001,202426539.0,216083336.0,102001,177.7,10.62,0.055,276746007.2444644
12,212515923.07999998,254784930.07999998,2001-11-01,123621792.0,166709288.0,23247970.0,263874459.0,7137446.0,221579721.0,7848429.0,14750933.0,,11,2001,194208996.0,201902507.0,112001,177.4,10.64,0.05,266850479.04319
13,208288552.07999998,243494561.07999998,2001-12-01,113305533.0,162261620.58333334,23280897.0,271333906.0,12964637.0,217961891.0,8322831.0,15302084.0,,12,2001,186777362.0,186777362.0,122001,176.7,10.66,0.0475,252715803.15131855
14,202958137.07999998,235105129.07999998,2002-01-01,98285808.0,157797425.41666666,17254976.0,280815683.0,2235251.0,227245335.0,7711101.0,15335245.0,18594000.0,1,2002,179915469.0,193163554.0,12002,177.1,10.7,0.04704545454545454,234190444.17162943
15,198514522.07999998,227232266.07999998,2002-02-01,94619836.0,152607314.41666666,15734535.0,279815368.0,12068564.0,217534033.0,7449234.0,15340267.0,18594000.0,2,2002,180713480.0,189501621.0,22002,177.8,10.74,0.04659090909090909,221702195.0851817
16,194689495.07999998,220030574.07999998,2002-03-01,96338315.0,146288172.0,15815555.0,277866235.0,17534033.0,202036524.0,6673785.0,14614210.0,18594000.0,3,2002,160946051.0,170408545.0,32002,178.8,10.78,0.046136363636363635,211083217.34578753
17,187052563.07999998,212876357.07999998,2002-04-01,82845669.0,139894155.16666666,16502476.0,266024413.0,3009831.0,189296209.0,6438710.0,14211417.0,18594000.0,4,2002,155091846.0,163480606.0,42002,179.8,10.816666666666666,0.045681818181818185,203033794.29828358
18,178169578.0,208287049.0,2002-05-01,69166119.0,132923744.83333333,16744657.08,256073414.0,3065107.0,172428490.0,5256909.0,13105338.0,18594000.0,5,2002,176914063.0,184973942.0,52002,179.8,10.853333333333333,0.04522727272727273,194758531.0147581
19,171532821.0,205640923.76,2002-06-01,102429730.0,122085571.25,15250620.0,247701894.08,48514231.0,117643813.0,4043266.0,12366097.0,18594000.0,6,2002,172790270.0,180696683.0,62002,179.9,10.89,0.04477272727272728,190409843.35791922
20,165831677.0,203658860.61999997,2002-07-01,118090897.0,115504203.66666667,15049403.0,240173478.08,30710570.0,161197068.0,3716833.0,11427934.0,13909000.0,7,2002,158702447.0,163484117.0,72002,180.1,10.92,0.04431818181818182,184912210.44362545
21,158796857.0,195820344.62,2002-08-01,114281407.21,111568514.16666667,19190169.0,226634292.08,15380680.0,179406019.0,3539018.0,10988252.0,13909000.0,8,2002,144943439.0,152160348.0,82002,180.7,10.950000000000001,0.04386363636363637,179728098.6185212
22,153578243.76,189741897.62,2002-09-01,97944894.0,108327684.7675,17823108.0,220414203.07999998,1486594.0,181524252.0,3593849.0,10267634.0,13909000.0,9,2002,140615888.0,151968717.0,92002,181.0,10.98,0.04340909090909091,177540063.13222098
23,148116672.61999997,179196563.62,2002-10-01,84612438.0,104221859.7675,18528911.0,216154764.07999998,5196455.0,166884865.0,3631181.0,10069891.0,13909000.0,10,2002,128219305.0,136465363.0,102002,181.3,11.006666666666668,0.04295454545454546,169019147.2306409
24,138127709.62,167775890.62,2002-11-01,84220085.0,99628536.5175,21340616.0,214423277.07999998,20948262.0,159303399.0,4698280.0,9955189.0,13909000.0,11,2002,120283543.0,125070589.0,112002,181.3,11.033333333333333,0.0425,161947514.40775275
25,130818844.62,160488569.8,2002-12-01,68049072.77,96345060.93416667,19053526.0,212515923.07999998,2882515.0,173114215.0,5470398.0,9513664.0,13865242.0,12,2002,106497071.0,106497071.0,122002,180.9,11.06,0.04214285714285715,151795394.53186536
26,126877860.62,158495601.8,2003-01-01,60812909.0,92573689.24833333,11924561.0,208288552.07999998,4688397.0,163032093.0,5615434.0,9332267.0,13868500.0,1,2003,102874865.0,114871344.0,12003,181.7,11.096666666666668,0.04178571428571429,150141695.3006673
27,125506883.62,156913903.9,2003-02-01,54884772.0,89450947.665,11290920.0,202958137.07999998,5362783.0,165485239.0,5581119.0,9120137.0,13866500.0,2,2003,94060412.0,103962288.0,22003,183.1,11.133333333333333,0.04142857142857143,138623756.32041693
