,date,prediction,DoDPrediction,DCPrediction,HCPrediction,LVPrediction,STLPrediction,USPSPrediction,OtherPrediction
6,2025-01-01,50190248.0,11675299.766625147,3761376.056146609,466477.3065269648,2800421.0349266343,3098935.8554751235,28387737.980299518,0.0
7,2025-02-01,57106524.0,12366608.028641919,6147830.39467682,390878.9068563614,3586577.89597603,4804524.564621141,29810104.209227733,0.0
8,2025-03-01,59848284.0,15634845.432457818,10644105.465950767,1136924.1443886885,4926558.203734987,4341576.464511804,23164274.28895593,0.0
9,2025-04-01,60242952.0,15806204.833843382,11631456.239413667,1806198.2781989155,5577424.326859381,4772357.418297584,20649310.903387073,0.0
10,2025-05-01,57018312.0,19188176.63859474,11438570.483763516,1291273.4370712603,5754161.795430234,6073287.410078186,13272842.235062059,0.0
11,2025-06-01,57662432.0,15066759.44300184,11029523.414737573,2005293.6917872666,4589343.087432197,6052571.884985355,18918940.478055768,0.0
12,2025-07-01,59530540.0,17240758.52895891,11095224.293327099,2653112.1556721875,4885604.436125256,5373033.072928321,18282807.512988225,0.0
13,2025-08-01,59358252.0,21855705.32389748,10621094.70491052,3456130.7755124406,5523557.271614233,5275033.276615748,12626730.647449577,0.0
14,2025-09-01,55937476.0,23458795.30385598,7241313.224577995,3399284.759904461,5046875.573763947,5126414.244550342,11664792.893347269,0.0
15,2025-10-01,56295884.0,23956943.70887787,6747147.127225492,3045940.2901288504,6034933.067045104,4320309.747401267,12190610.059321417,0.0
16,2025-11-01,55717748.0,26309781.8651351,5339693.081686297,3875847.128447599,6180496.843201534,3261771.320483236,10750157.761046233,0.0
17,2025-12-01,51170016.0,24701651.187648416,3331074.3772950904,4061144.5043950747,4327248.181379764,3290466.1924474714,11458431.556834182,0.0
